country,iso3,mu_A,beta_D,mu_joint,beta_joint,rmse_trajectory_produced,slope_produced,rmse_trajectory_tang_only,log_scale_ratio,n_cwon_years,rnd_pct_gdp_mean,L_prod_joint,L_wealth_joint
Australia,AUS,2.245229564929588,0.16,2.5058333333333334,0.32,0.07100429840533089,0.7460816686692255,0.07150484157917776,-14.0664361660998,25,1.9485323076923076,0.0004731931680581336,0.004970412362509649
Austria,AUT,0.0214970785657428,0.0,0.75875,0.04,0.01081504474931647,0.9680360182958558,0.01081504474931647,-13.459421447808477,25,2.4824216666666667,0.0004968371724668206,6.889855116537827e-05
Belgium,BEL,0.1900519042478079,0.19,6.0,0.2,0.01654857259052586,1.0392773007972587,0.016436212495194707,-13.336023052564517,25,2.127088333333333,0.0003462837235193063,0.0001300279972864079
Canada,CAN,0.1774746179826027,0.06,0.5091666666666667,0.06,0.06508099518036088,0.7615768658955991,0.06510399052203326,-13.599123151599734,25,1.8123975,0.0003329912123327988,0.004219356838725489
Chile,CHL,0.5861894182963105,0.0,6.0,0.0,0.1009966204916342,0.8129755098911785,0.1009966204916342,-12.38134236809173,25,0.359723076923077,0.001980777248321983,0.0057685974093493455
China,CHN,5.988502921434257,0.09,0.01,0.34,0.3519092591356237,0.6504024772360832,0.35256777491740876,-12.559501605296466,25,1.43812125,0.0032528778211410978,0.10529998875929572
Colombia,COL,0.4021919621346195,0.02,0.75875,0.1,0.08553521888605961,0.721458289632493,0.0855536597858603,-12.362353039834511,25,0.21851499999999996,0.0004187535199621686,0.007270795065166272
Costa Rica,CRI,0.0214970785657428,0.16,0.01,0.14,0.017643942055776,0.9794799719323084,0.017671604722621234,-13.043676022838959,25,0.41644800000000004,0.0012635854572327508,0.00031253341150996693
Czech Republic,CZE,5.989365582861284,0.0,1.0083333333333333,0.0,0.03622221120224734,0.7218936837387937,0.03622221120224734,-12.93789345451895,25,1.384415833333333,0.001100702625436297,0.0005470348665296449
Denmark,DNK,0.5567846378855854,0.0,0.5091666666666667,0.0,0.01366763140188111,0.9196099038560436,0.01366763140188111,-13.783862228567171,25,2.604575833333333,0.00038792086901955227,0.0001868010275552203
Estonia,EST,5.989791931846012,0.0,0.01,0.0,0.09553702422803931,0.7060670287702151,0.09553702422803931,-13.015823526966235,25,1.2079127272727275,0.0036523359128297897,0.00338875708626267
Finland,FIN,1.6675704573030463,0.0,0.01,0.0,0.05812482055686209,0.7013062834009607,0.05812482055686209,-13.80085397470732,25,3.1519208333333335,0.0006167731422726092,0.0031990281388339713
France,FRA,0.0214970785657428,0.34,0.01,0.34,0.03297004541120397,0.8246491973822336,0.033021042481447,-13.5433054985316,25,2.16012625,0.00028361673206299534,0.0010856070556652729
Germany,DEU,0.0214970785657428,0.04,5.5008333333333335,0.0,0.03155294474084068,0.6987732929103424,0.03169376173811043,-13.615549901863837,25,2.5896875000000006,0.0004650166579478187,0.0002724150021644569
Greece,GRC,0.0214970785657428,0.21,0.25958333333333333,0.26,0.05194722019230179,0.61651291342514,0.05214116293356266,-12.383066603385785,25,0.7519085000000001,0.0016412391873170229,0.002647947661549676
Hungary,HUN,0.0214970785657428,0.26,0.01,0.26,0.04459461846395237,0.8027675198297273,0.04513991075316356,-12.497174648666245,25,1.0489625,0.0008438213273409738,0.001981360388097556
Iceland,ISL,0.5896563957282637,0.18,0.01,0.14,0.0386409165576259,0.9043383663001295,0.03897218072009575,-14.411420478447129,25,2.3398790000000007,0.0013246137854004702,0.0009627535923133425
Ireland,IRL,5.988502921434257,0.0,0.01,0.0,0.14380739411134885,0.7251249530246295,0.14380739411134885,-13.169336849617466,25,1.2669133333333331,0.0011454439223347987,0.013654581417898977
Israel,ISR,0.0214970785657428,0.0,6.0,0.0,0.06373223994571367,0.8092783150261564,0.06373223994571367,-13.63468909645128,25,3.960485,0.0018268758987731453,0.0020015735793952457
Italy,ITA,0.0214970785657428,0.32,0.01,0.34,0.01343544719965889,0.9285102295593032,0.013521621996962756,-12.870292886960138,25,1.1649866666666668,0.0005807990403118665,0.000181146818482032
Japan,JPN,0.0214970785657428,0.01,0.01,0.0,0.031085648971262227,1.3140002992511806,0.031058558061090265,-14.126422013049691,25,3.0825724999999995,0.0005530123660587562,0.000958676876640065
