iso3,label,che_gdp_pct,life_exp,che_pc_ppp
AUS,Australia,10.25421429,82.9,5464.56914820707
AUT,AUT,10.62530422,81.8951219512195,6428.20230300818
BEL,BEL,10.85831451,81.9951219512195,6176.00593172252
CAN,Canada,11.04823494,82.1585365853659,5554.96352468819
CHL,CHL,9.30968475,80.324,2384.37378889567
COL,COL,7.83404827,76.793,1267.67360960455
CRI,CRI,7.2212491,80.296,1685.41120169222
CZE,CZE,7.48754358,79.2292682926829,3422.44715438304
DNK,DNK,10.18468761,81.4512195121951,6171.19904427546
EST,EST,6.64763546,78.6463414634147,2702.26654885985
FIN,Finland,9.22295189,81.9829268292683,4821.26714325924
FRA,France,11.17058277,82.8268292682927,5719.34530056227
DEU,Germany,11.42805386,81.2926829268293,6779.50798127688
GRC,GRC,8.11709499,81.6390243902439,2590.84666689567
HUN,HUN,6.24677849,76.3195121951219,2224.3043121549
ISL,ISL,8.63996315,83.1634146341463,5227.25675080911
IRL,IRL,6.61860561,82.7024390243903,6135.1734958403
ISR,ISR,7.20701885,82.8048780487805,3114.74855373886
ITA,Italy,8.61536789,83.4975609756098,4014.20880137632
JPN,Japan,10.96998405,84.3563414634146,4679.33218824469
KOR,Korea,7.69397116,83.2268292682927,3578.35067272385
LVA,LVA,6.86276913,75.3878048780488,2202.67592921734
LTU,LTU,6.94472647,76.2829268292683,2815.93414305712
LUX,LUX,5.46640301,82.6390243902439,6700.66965094926
MEX,MEX,5.3013463,74.53,1111.3888501635
NLD,Netherlands,9.93616295,82.1121951219512,6217.20444233328
NZL,NZL,8.61898708,82.0560975609756,3887.60313149013
NOR,Norway,10.43807507,82.9585365853659,7432.08519121522
POL,POL,6.38906956,77.9048780487805,2292.10627205968
PRT,PRT,9.50868607,81.6756097560976,3584.05951113954
SVK,SVK,6.91102982,77.6658536585366,2350.36598550736
SVN,SVN,8.56564522,81.5292682926829,3642.58734890772
ESP,Spain,9.21539497,83.8317073170732,4075.97609213283
SWE,Sweden,10.93444347,83.109756097561,6267.40709725547
CHE,Switzerland,11.42588997,83.9048780487805,8422.36020773627
TUR,TUR,4.35954332,77.737,1200.39248868231
GBR,UK,9.97954082,81.3691219512195,4983.83652854371
USA,USA,16.54486084,78.7878048780488,10550.2206945449
