term,inscription,date,start_year,end_year,mid_year,context,group
lokeśvara,K.168:{3},972,972,972,972,ekādaśamukha nu vraḥ kaṃmrateṅ ’añ lokeśvara nu {4} vraḥ kaṃmrateṅ ’añ,Mahayana
lokeśvara,K.168:{10},972,972,972,972,nā {11} vraḥ kaṃmrateṅ ’añ lokeśvara ○ srū ta kh’val neḥ,Mahayana
lokeśvara,K.240S-2:{7},979,979,979,979,khñuṃ ta vraḥ kamrateṅ ’añ lokeśvara ○ gho kapur {8} tai,Mahayana
lokeśvara,K.158:{C2},1003,1003,1003,1003,nu vraḥ {C3} kaṃmrateṅ ’añ lokeśvara {C4} ta praśasta ○ bhūmi,Mahayana
lokeśvara,K.230:{C15},1026,1026,1026,1026,neḥh saṃ sit {C16} ’arccā lokeśvara jmaḥ kamrate{C17} ṅ ’añ śrī,Mahayana
bodhisattva,K.294:{1},1178-1277,1178,1277,1228,mahābodhi kuraba{2} bṛkṣa [○] vraḥ bodhisattva jā vraḥ indra paṃre ta,Mahayana
mahābodhi,K.294:{1},1178-1277,1178,1277,1228,kamrateṅ ’añ dharmmadarṣi ○ vraḥ mahābodhi kuraba{2} bṛkṣa [○] vraḥ bodhisattva,Mahayana
vajra,K.809N:{45},878-887,878,887,882,cap pi hau | sī vajra | tai kanteṃ | {46},Mahayana
vajra,K.366:{C7},1139,1139,1139,1139,□ □ □ [ga]ṇa samrit vajra 1 trayvaṅ=gaṃ 3 cirā dhūpa,Mahayana
vajra,K.200:{B3},1145,1145,1145,1145,kamandalu samrit mvāy trayvaṅ prām vajra vya{B4} [r jvan] kriyā vraḥ,Mahayana
buddha,K.294:{1},1178-1277,1178,1277,1228,{1} vraḥ buddha kamrateṅ ’añ dharmmadarṣi ○ vraḥ,Buddhist-general
buddha,K.294:{2},1178-1277,1178,1277,1228,vraḥ indra paṃre ta vraḥ buddha kamra{3} teṅ ’añ nu pañcāṅgikatūryya,Buddhist-general
buddha,K.413:{A46},1361,1361,1361,1361,. . . . braḥ buddha . . . . .,Buddhist-general
buddha,K.413:{B48},1361,1361,1361,1361,pvas ta sāsana braḥ {B49} buddha kamrateṅ ’añ ruv neḥ ’añ,Buddhist-general
buddha,K.413:{B50},1361,1361,1361,1361,’añ ’aṃpān jā {B51} braḥ buddha pi nāṃ satva phoṅ chloṅ,Buddhist-general
stūpa,K.177:{40},1278-1477,1278,1477,1378,tiya saṅgāyanā {41} coṅ braḥ stūpa prā{42} sāda sarap sthā{43} panā,Buddhist-general
saṅgha,K.258:{A38},1107,1107,1107,1107,2 liṅ 18 vraḥ uttarā{A39} saṅgha 1 liṅ 1 śaṅkha ’so,Buddhist-general
saṅgha,K.177:{19},1278-1477,1278,1477,1378,{20} gi saṅgharāja nu kray saṅgha phoṅ {21} nāṃ mahāpurusa dau,Buddhist-general
saṅgha,K.177:{25},1278-1477,1278,1477,1378,sila{26} viryyādhika bodhisambhāra tarāp {27} saṅgha paricāra mahāpurusa {28} hai sādhu,Buddhist-general
buddhasāsa,K.177:{10},1278-1477,1278,1477,1378,sa{11} rvvakusala taṃkal braḥ {12} buddhasāsa parātha kusa{13} la mahājana phoṅ,Buddhist-general
sāsana,K.413:{B48},1361,1361,1361,1361,punya ti ’añ pvas ta sāsana braḥ {B49} buddha kamrateṅ ’añ,Theravada/Pali
