title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category,date_sold,agent_type,period_detailed,period,period_adoption
Datex Ohmeda TEC 6 Plus Desflurane Vaporizer,65.17,"Oct 13, 2025",3,eBay (Terapeak),desflurane,vaporizer,2025-10-13,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda TEC 6 Plus Desflurane Vaporizer,85.0,"Apr 23, 2025",3,eBay (Terapeak),desflurane,vaporizer,2025-04-23,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Desflurane Vaporizer,116.67,"Nov 12, 2024",3,eBay (Terapeak),desflurane,vaporizer,2024-11-12,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Aladin2 Desflurane Vaporizer Cassette 1100-9025-000 - Untested,59.99,"Jul 30, 2025",5,eBay (Terapeak),desflurane,vaporizer,2025-07-30,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager M35500-10 D-Vapor Desflurane Vaporizer,149.99,"Dec 15, 2025",5,eBay (Terapeak),desflurane,vaporizer,2025-12-15,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager D-Vapor Desflurane Vaporizer SW V3.0,305.0,"May 21, 2025",2,eBay (Terapeak),desflurane,vaporizer,2025-05-21,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda TEC 6 Plus Desflurane Vaporizer,32.5,"Dec 1, 2025",2,eBay (Terapeak),desflurane,vaporizer,2025-12-01,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager D-Vapor / Desflurane / Anesthetic Vaporizer / Version 3.0,225.0,"Aug 23, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-08-23,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
2011 Baxter H Drager D-VAPOR Desflurane Vaporizer Ref M35500-27 SW: 2.03,300.0,"Aug 23, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-08-23,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex Ohmeda Ref:1107-9601-000 Tec 6 Plus Desflurane Anesthesia Vaporizer,275.0,"Jan 24, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-01-24,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer ~ 32903,274.99,"Dec 2, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-12-02,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter Drager Med D-Vapor Desflurane Vaporizer Ref M35500-25; EMPTY,544.99,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
2011 Baxter Drager Med D-Vapor S-2000 Desflurane Vaporizer M35500-25,524.99,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
2011 Baxter Drager Med D-Vapor S-2000 Ref M35500-25 Desflurane Vaporizer,549.99,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager Med M35500-25 D-Vapor S-2000 Desflurane Vaporizer; EMPTY,544.99,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Healthcare Drager D-Vapor Desflurane Vaporizer M35500-24 SW Version 2.03,475.0,"May 14, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-05-14,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Healthcare Drager D-Vapor Desflurane Vaporizer M35500-16 SW Version 2.03,200.0,"Mar 13, 2024",2,eBay (Terapeak),desflurane,vaporizer,2024-03-13,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 w/power cord,44.99,"Feb 11, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-02-11,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DATEX OHMEDA Tec 6 Plus Desflurane Vaporizer,70.0,"Jun 21, 2023",2,eBay (Terapeak),desflurane,vaporizer,2023-06-21,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Jun 25, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-06-25,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,484.0,"Oct 26, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-10-26,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
"Ohmeda Tec 6 Desflurane Vaporizer, NEW, NEVER USED, includes o-rings, power cord",40.0,"Feb 14, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-02-14,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,350.0,"Mar 10, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-03-10,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer powers on,90.0,"May 30, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-05-30,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
"Drager Medical Anesthesia Desflurane Vaporizer D-Vapor Ref M35500-15, SW 2.03",395.0,"Sep 15, 2023",2,eBay (Terapeak),desflurane,vaporizer,2023-09-15,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex-Ohmeda Aladin2 Desflurane Vaporizer Cassette 1100-9025-000 (B785),42.0,"Dec 24, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-24,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Jul 11, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-11,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Aug 5, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-05,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,484.0,"Aug 17, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-17,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 (B887),210.0,"Aug 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Aug 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Sep 9, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-09-09,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 (B886),200.0,"Oct 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-10-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda TEC 6 Plus Desflurane Vaporizer,50.0,"May 26, 2025",3,eBay (Terapeak),desflurane,vaporizer,2025-05-26,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Aladin 2 Desflurane Cassette 1100-9025-000 Vaporizer,209.0,"Jul 11, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-07-11,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
